"English Word","Word Type","Dragon Translation"
Digger,noun,Deyvutiik
Digit,noun,Diitak
Digital,adjective,Qomorahuv
"Digital Book",noun,Ridey
Dignity,noun,Meyfir
Dilemma,noun,Jeykiiv
Dill,noun,Grenvah
Dim,adjective,"Murun "
Dimension,noun,Olaak
Diminish,verb,Liivrah
Dine,verb,Prunaak
Dinner,noun,Prazaak
Dinosaur,noun,Siigonisaak
Dint,verb,Pukreh
Diode,noun,Rigeinbo
Dip,verb,Endil
Diploma,noun,Hahsok-Du'ul
Diplomat,noun,Norzaar
Dire,adjective,Riid
Direct,verb,"Raak, Mor"
Direction,noun,Moraan
Director,noun,Moriik
Dirge,noun,Krosilov
Dirt,noun,Thok
Dirty,adjective,Thokus
Disable,adjective,Nivos
Disadvantage,adjective,Vokrantok
Disagree,verb,"Vorolur, Tegalrot"
Disallow,adjective,Nivos
Disappear,verb,Vognun
Disappoint,verb,Vosotiiv
Disappointed,adjective,Vosotivaal
Disappointment,noun,Vosotiiv
Disapprove,verb,Nizeylum
Disarm,verb,Duzun
Disarray,noun,Thesk
Disaster,noun,Gral
Disavow,verb,Duvaat
Disbelief,noun,Vokoraak
Disbelieve,verb,Vokorah
Discard,verb,Fusond
Discern,verb,"Lahfraan, Volo"
Discernible,adjective,Volos
Discharge,verb,Fustir
Disciple,noun,Ventovitaan
Discipline,noun,Hahsok
Discipline,verb,Delah
Disclose,verb,Gemindok
Disconcert,verb,Vodremt
Disconnect,verb,Vogevoth
Discontent,adjective,Ninurah
Discontinue,verb,Vofahbo
Discord,noun,Vodrem
Discourage,verb,Vogekrin
Discouraged,adjective,Vokrin
Discourse,noun,Lingrot
Discover,verb,Nahkiv
Discovery,noun,Nahkivaar
Discredit,verb,Vomahnad
Discredited,verb,Vomahnad
Discus,noun,Fusk-Vogil
Discuss,verb,Tinvaak
Discussion,noun,Tinvaak
Disdain,verb,Kervaaz
Disease,noun,Krasnovaar
Disembowel,verb,Veyko
Disenchant,verb,Vogelah
Disgrace,noun,Vodun
Disgraceful,adjective,Vozodun
Disguise,noun,Vordaas
Disgust,adjective,Krastov
Dish,noun,Shuv
Dishonor,noun,Dukaan
Dishonorable,adjective,Vozinaal
Dishonored,adjective,Dukaan
Dishwasher,noun,Shuv-Shun
Disk,noun,Vogil
Dislike,verb,Vomos
Disloyal,adjective,Vomid
Disloyalty,noun,Vomidrot
Dismember,verb,Vofaak
Dismiss,verb,Fusond
Dismount,verb,Vogoz
Disobedience,noun,Vothaarn
Disobedient,adjective,"Thaarnu, Vozothaarn, Kaarn"
Disobey,noun,Vothaar
Disorder,noun,"Volbur, Krent-Hah, "
Disorderly,adjective,Volburaal
Disorganized,adjective,Vovorstaal
Disown,verb,Volaav
Dispatch,verb,Komeyt
Dispel,verb,Vostavek
Disperse,verb,Volahvraan
Dispirited,adjective,Vokrin
Displace,verb,Voris
Display,verb,Genun
Disposition,noun,Nivorn
Dispossess,verb,Vopiraak
Disputant,noun,Dilahiik
Dispute,verb,Dilah
Disregard,verb,Voned
Disrespect,verb,Vofir
Disrespectful,verb,Vofir
Disrobe,verb,Vokaraas
Disrupt,verb,Diinek
Disruption,noun,Kropahvok
Disruptive,adjective,Diinektaas
Dissent,verb,Vorlaav
Disservice,noun,Vahmik
Dissimilar,adjective,Vomedaas
Dissipate,verb,Volahvraan
Dissociate,verb,Krenvaast
Dissolve,verb,Volusvaan
Dissonance,noun,Ahzidhonaat
Dissonant,noun,Ahzidhonaat
Dissuade,verb,Vogekrin
Distance,noun,Gutom
Distant,adjective,Hud
Distillery,noun,Jumstaad
Distinguish,verb,Volo
Distinguishable,adjective,Volos
Distort,verb,Luwey
Distortion,noun,Luwend
Distract,verb,Irud
Distraction,noun,Irudak
Distrust,verb,Vonov
Disturb,verb,Vodremt
Disturbance,noun,Kropahvok
Disuputer,noun,Dilahiik
Disuse,noun,Vobrah
Ditch,noun,Nebeniit
Ditty,noun,Malovaas
Dive,verb,Bovut
Diversion,noun,Irudak
Divert,verb,Irud
Divide,verb,Krenok
Divination,noun,Prodaan
Divine,adjective,Stahdim
Diviner,noun,"Nahgah, Lahiik"
Division,verb,Krenok
Divorce,noun,Vo-Aavlaas
Divulge,verb,Gemindok
Dna,noun,Trahkiin-Veik
Do,verb,Dreh
Docile,adjective,Nipaalus
Dock,noun,Hadaak
Docker,noun,Staalzer
Doctor,noun,Vahraniik
Document,noun,Pahelrot
Dodge,verb,Unviig
Doe,noun,Toraas
Does,verb,Dreh
Dog,noun,Dok
Dogma,noun,Oron
Doleful,adjective,Sokei
Doll,noun,Setkiirjor
Doloire,noun,Tunihah
Dolphin,noun,Okaaris
Dolt,noun,Hinzaaljor
Domain,noun,Deylok
Dome,noun,Driivoh
Domestic,adjective,Hofkiinuv
Dominance,noun,Rel
Dominant,adjective,Reldaal
Dominate,verb,Rel
Domination,noun,Rel
Dominion,noun,Suleyksejun
Donate,noun,Stinofan
Donation,noun,Stinofan
Done,verb,Drehlaan
Donkey,noun,Eyron
Donut,noun,Punkenlok
Doom,verb,Daan
Doomed,adjective,"Daniik, Daanik"
Doomsday,noun,Suldaan
Door,noun,"Miiraad, Miraad"
Doorbell,noun,Miiraadkriing
Doorway,noun,"Miiraad, Miraad"
Dormant,adjective,Praantaas
Dose,noun,Kaaley
Double,adjective,Ziinan
"Double Bass",noun,Zoklotlovaastrin
"Double Bassist",noun,Zoklotlovaastrinin
Doubt,noun,Grit
Doubter,noun,Gritiik
Doubtful,adjective,Zogrit
Dough,noun,Brothal
Doughnut,noun,Punkenlok
Doughty,adjective,Krilzin
Dove,noun,Lokrem
Down,preposition,Tum
Downfall,noun,Tumah
Download,verb,Rikofaal
Downside,adjective,Tumreid
Dowry,noun,Aavlaas-Ofan
Draconic,adjective,"Dovahruv, Dovahus"
Draft,noun,Suth
Drafty,adjective,Suthus
Drag,verb,Sovut
Dragon,noun,Dovah
"Dragon Break",noun,Bormah-Kren
"Dragon Language",noun,Dovahzul
"Dragon Shout",noun,Thu'um
"Dragon Slayer",noun,Dovahkriid
"Dragon Speaker",noun,Dovahzulaan
Dragonblood,noun,"Sossedov, Dovahsos"
Dragonborn,noun,Dovahkiin
Dragonfly,noun,Snuk
Dragonguard,noun,Dovahdaan
Dragonish,adjective,Dovahus
Dragonkind,noun,Dov
Dragonling,noun,Meydovah
Dragonstone,noun,Dovahgolz
Drain,verb,Vasik
Drape,noun,Vundonin
Draugr,noun,Qethgaaf
Draw,verb,"Verilir, Sovit"
Draw,noun,Rinisur
Drawer,noun,Malmiraad
Dread,noun,Gruin
Dreadful,adjective,Zofaas
Dream,noun,Hahnu
Dreamer,noun,Hahnud
Dreamlike,adjective,Hahnus
Dreamy,adjective,Hahnus
Dremora,noun,Vokendaar
Dress,verb,Karaas
Dreugh,noun,Dreyvgir
Dribble,verb,Lomaan
Drift,verb,Rokah
Drill,noun,Muldeyto
"Drill Bit",noun,Muldeytorax
Drink,verb,Piin
Drinkable,adjective,Vipiin
Drinker,noun,Piinaar
"Drinking fountain",noun,Kiraavah
Drip,verb,Lomaan
Drive,verb,Kuyiz
Drone,noun,Vomun
Drool,noun,Nimahshik
Droop,verb,Juros
Drop,verb,Vosmah
Droppings,noun,Draafraan
Drought,noun,Luvnulok
Drown,verb,Draak
Drug,noun,Kolvas
Druid,noun,Beylund
Drum,noun,Mand
Drummer,noun,Mandiik
Drunk,adjective,Teivo
Drunkard,noun,Piniid
Dry,adjective,Renek
Dry,verb,Kirt
Dubious,adjective,Zogrit
Duck,noun,Aand
Duct,noun,Rathol
Due,adjective,Toz
Duel,noun,Ziinkrif
Duke,noun,Maljun
Dull,adjective,"Alunrinis, Vokinzon"
Duly,adverb,Toz
Dumb,adjective,Hinzaal
Dumbbell,noun,Haalwid
Dummy,noun,Meykrazahd
Dune,noun,Sendahrol
Dung,noun,Draafraan
Dungeon,noun,Nebendein
Dunmer,noun,Vulfahliil
Duo,noun,Ziinmet
Duplicate,verb,Laniz
Durable,adjective,Visgrolah
During,preposition,Ahstiid
Dusk,noun,Tor
Dust,noun,Viiz
"Dust Devil",noun,Klomorwuld
Dusty,adjective,"Viizus, Viizus"
Dutiful,adjective,Zoheyv
Duty,noun,Heyv
DVD,noun,Frahzoginvogil
Dwarf,noun,"Dilfahliil, Hefmun"
Dwarfish,noun,Dilfahliiluv
Dwarven,noun,Dilfahliiluv
Dwell,verb,Nahwan
Dwelling,noun,Hof
Dwemer,noun,Dilfahliil
Dwindle,verb,Malzat
Dye,noun,Loorah
Dying,adjective,Viir
Dynamic,adjective,Vomulhaan
Dynamite,noun,Yoloraak
Dynasty,noun,Ragnarei
E-book,noun,Ridey
Each,adjective,Enook
Eager,adjective,Frin
Eagerness,noun,Frin
Eagle,noun,Okriim
Ear,noun,Honiir
Earbud,noun,Rihoniir
Earl,noun,Maljun
Earlier,adjective,Usliik
Early,adjective,Vath
Earn,verb,Lask
Earnest,adjective,Wiistel
Earnestness,noun,Wiistelom
Earphone,noun,Rihoniir
Earth,noun,Gol
Earthbound,adjective,Goltgro
Earthly,adjective,"Leinuv, Goluv"
Earthquake,noun,Reinsegol
Earthworm,noun,Golir
Ease,noun,Forveyk
Ease,verb,Lumvit
Easiness,noun,Forveyk
East,noun,Jer
Easterly,adjective,Jeruv
Eastern,adjective,Jeruv
Easy,adjective,Vahk
Eat,verb,Naak
Eaten,adjective,Naako
Eater,noun,Naakin
Eavesdrop,verb,Girvolaan
Eavesdropper,verb,Girvolaan
Ebony,noun,Vugel
Eccentric,adjective,Zurun
Echelon,noun,Leyk
Echo,noun,Niirah
Eclipse,noun,Vulok
Economic,adjective,Yuldikuv
Economics,noun,"Yuldik, Yuldikah"
Economist,noun,Yuldikin
Economy,noun,Yuldik
Ecstasy,noun,Lotjiik
Ecstatic,adjective,Lotjiik
Ectoplasm,noun,Gaafreyziin
Edge,noun,Kes
Edgy,adjective,Balkus
Edible,adjective,Visnaak
Edit,verb,Rediirah
Edition,noun,Rediirend
Educate,verb,Delah
Educator,noun,Delahiik
Eel,noun,Lomvith
Eerie,adjective,Kasiil
Effect,noun,Droz
Effective,adjective,Drozaal
Effigy,noun,Fotiid
Effort,noun,Grav
Effortful,adjective,Zograv
Effortfully,adverb,Zogravaar
Effortless,adjective,Gravnu
Egg,noun,Klur
Eight,noun,Thiik
Either,conjunction,Ahney
Eject,verb,Funol
Elaborate,verb,Taavoz
Elate,verb,Genaz
Elbow,noun,Bru
Elder,adjective,Zuwuth
"Elder Scroll",noun,Kel
Elect,verb,Volkon
Election,noun,Volkonend
Electric,adjective,Qomorah
"Electric boat",noun,Rivaad
"Electric Guitar",noun,Rikakwaar
"Electric Guitarist",noun,Rikakwaarin
Electrical,adjective,Qomorah
Electrician,noun,Qomorahiik
Electricity,noun,Qomorah
Electrified,adjective,Qumorahaal
Electromagnet,noun,Rikaavgolz
Electromagnetic,adjective,Rikaavgolz
Electron,noun,Rimalureyd
Electronic,adjective,Qomorah
Electrum,noun,Zilfyuld
Elegy,noun,Sokeikahriil
Element,noun,Verin
Elemental,noun,Verinrii
Elephant,noun,Aalzon
Elevate,verb,Gelok
Elevation,noun,Lokom
Elevator,noun,Gelokaat
Elf,noun,"Fahliil, Slaag"
Elicit,verb,Drunkoros
Eliminate,verb,Pahsaan
Elite,noun,Pruzeim
Elixir,noun,Galgur
Elk,noun,Legaar
Ellipse,noun,Beznan
Ellipsoid,noun,Beznaneyd
Elliptical,adjective,Beznanus
Elm,noun,Ulm
Elope,verb,Weltir
Eloquence,noun,Bovun
Eloquent,adjective,Bovun
Else,adverb,Voz
Elsewhere,adverb,Ahstaadvoz
Elsweyr,noun,Kaasendaar
Elude,verb,Vudoz
Elusive,adjective,Motmahus
Elven,adjective,Fahliiluv
Elves,noun,Fahliil
Elvish,adjective,Fahliiluv
Email,noun,Aaskraan
Embalm,verb,Zahnirnaas
Embalming,verb,Zahnirnaas
Embark,verb,Bokur
Embarrass,verb,Paakmey
Ember,noun,Enkii
Emblem,noun,Sileyz
Embodiment,noun,Kopraanzii
Embolden,verb,Gekrin
Emboss,verb,Aathrok
Embossment,noun,Juskov
Embrace,verb,Mahlov
Emerald,noun,Faziigolz
Emerge,verb,Meyzah
Emergency,noun,Faastiid
Emote,verb,Noor
Emoticon,noun,Noorsiin
Emotion,noun,Noorend
Emotional,adjective,Noorendaal
Emotionless,adjective,Voniir
Empathy,noun,Ofunsil
Emperor,noun,Ulokuun
Emphasis,verb,Feinrolt
Emphasize,verb,Feinrolt
Empire,noun,Lokoltei
Employ,verb,Ahmil
Employee,noun,Ahmilaat
Employer,noun,Ahmiliik
Empower,verb,Gronsuleyk
Empress,noun,Ulokuun
Emptiness,noun,Zahraanom
Empty,verb,Zahraan
Enable,verb,Vos
Enchant,verb,Gelah
Enchanted,adjective,Gelahaan
Enchanter,noun,Gelahiik
Enchantment,noun,Gelahuz
Encircle,verb,Gekenlok
Encounter,verb,Korost
Encourage,verb,Gekrin
Encouragement,noun,Gekrintiil
Encrusted,adjective,Gedaputlaan
Encyclopedia,noun,Deysemindah
End,noun,Oblaan
"End Times",noun,Dinoksetiid
Endanger,verb,Verut
Endearing,adjective,Qiib
Endeavor,verb,Vergrav
Endurable,adjective,Visgrolah
Endurance,noun,Grolah
Endure,verb,Grolah
Enduring,adjective,Lotiid
Enemy,adjective,Paalus
Enemy,noun,"Hokoron, Paal"
Energetic,adjective,Zoglimrel
Energy,noun,Glimrel
"Energy Drink",noun,Nelglimrel
Enervate,verb,Gelaag
Enforce,verb,Uthaarn
Enforcer,noun,Uthaarniik
Engage,verb,Driik
Engaged,adjective,Ofir
Engine,noun,Suleykmithil
Engineer,noun,Drungeltlaas
English,adjective,Sarodaaluv
Engulf,verb,Dunaak
Enigma,noun,Digoliik
Enjoy,verb,Kovir
Enjoyable,adjective,Zolaaf
Enlarge,verb,Gesaak
Enlighten,verb,Onikiv
Enlightenment,noun,Onikiv
Enlist,verb,Zahvraan
Enliven,verb,Genaz
Enormous,adjective,Hotus
Enough,adverb,Ganog
Enrage,verb,Gerahgol
Enrich,verb,Gesaavir
Enslave,verb,Imaar
Enslaved,adjective,Imaaraan
Ensnare,verb,Horvutah
Ensorcel,verb,Gelah
Ensue,verb,Mindun
Enter,verb,Haav
Entertain,verb,Ofanjiik
Enthrall,verb,Vahnuk
Enthusiasm,noun,Forokir
Enthusiastic,adjective,"Forokiraal, Forokiraal"
Entire,adjective,Ulaan
Entitlement,noun,Qaar
Entity,noun,Nahlii
Entomb,verb,Geqoth
Entrance,noun,Havaat
Entry,noun,Havaat
Envelop,verb,Gekenlok
Environment,noun,Gekenlokin
Environmentalism,noun,Spaanselund
Environmentalist,noun,Spaanselund
Envoy,noun,Norzaar
Envy,verb,Miizun
Ephemeral,adjective,Frul
Epic,noun,Kahriil
Epic,adjective,Kahrun
Epidemic,noun,Urikras
Epithet,noun,Tet
Epitome,noun,Pruzeim
Equal,adjective,Rinid
Equalism,noun,Rinidun
Equalize,verb,Gerinid
Equator,noun,Mithrei
Equinox,noun,Rosul
Equip,verb,Ket
Equipment,noun,Ketak
Equipped,adjective,Ketaan
Equivalent,adjective,Med-Zeymah
Era,noun,Feln
Erasable,adjective,Visaagis
Erase,verb,Aagis
"Ergo ",adverb,Drus
Erode,verb,Ahtiid
Erosion,noun,Ahtiid
Erotic,adjective,Eliiruk
Err,verb,Tozein
Errand,noun,Ahsod
Error,noun,Tozein
Ersatz,adjective,Oris
Erupt,verb,Yolein
Eruption,verb,Yolein
Escalator,noun,Bostegniir
Escape,verb,Filok
Escort,verb,Aakit
Especially,adverb,Suranmiik
Essay,noun,Mindahsik
Essence,noun,Rii
Essential,adjective,Riilgaar
Establish,verb,Rund
Estate,noun,Hofnaar
Esteem,verb,Balaas
Estimate,verb,Suz
Estrange,verb,Dahtiris
Estuary,noun,Jotserath
Et'ada,noun,Diistzii
Etcetera,adverb,Fosreyzan
Eternal,adjective,"Unahzaal, Unslaad"
Eternity,noun,Ul
Ethereal,adjective,Feimaan
Ethic,noun,Greyziik
Ethical,adjective,Greyz
Etiquette,noun,Prudaaven
Euthanasia,noun,Kriilaanthuz
Evacuate,verb,Filokrah
Evaporate,verb,Kriilom
Even,adjective,Yel
Even,adverb,Orin
Evening,noun,Avond
"Evening Star",noun,Vulonfil
Event,noun,Korosend
Ever,adverb,Alun
Everlasting,adverb,Unslaar
Everlastingly,adverb,Unslaar
Evermore,adverb,Unslaar
Every,adjective,Enook
Everybody,noun,Pah
Everyone,pronoun,Pah
Everything,adjective,Pah
Everything,noun,Lein
Everywhere,adverb,Enookstaad
Evidence,noun,Giwahdil
Evil,adjective,Vokul
Evilness,noun,Vokulom
Eviscerate,verb,Veyko
Evolution,noun,Jahfir
Evolve,verb,Jahfir
Exact,adjective,Wahzaal
Exactness,noun,Wahzaalom
Exalt,verb,Nonvaal
Example,noun,Giwahdaal
Excavate,verb,Vodeyto
Exceed,verb,Bovortii
Excellence,noun,Studaar
Excellency,noun,Studaariik
Excellent,adjective,Studen
Except,preposition,Namas
Exceptional,adjective,Ahdinaak
Excess,noun,Povaar
Excessive,adjective,Povortii
Exchange,verb,Ofanix
Exchange,noun,Kothrakaas
Excitation,noun,Sotiivend
Excite,verb,Sotiiv
Excitement,noun,Sotiivend
Exclaim,verb,Saagtir
Exclude,verb,Voraavut
Excrement,noun,Draafraan
Excuse,noun,Sahviir
Excuse,verb,Sahvol
Execute,verb,"Kriinuth, Druth"
Execution,verb,Kriinuth
Executioner,noun,Kriiduth
Exemplar,noun,Pruzeim
Exercise,verb,Delahmul
Exhale,verb,Tirsum
Exhaust,verb,Gelaag
Exhibit,verb,Ahkoraav
Exhibition,noun,Ahkoraav
Exhume,verb,Vodeyto
Exiguous,adjective,Malaas
Exile,verb,Fustiroz
Exist,verb,Ahkos
Existence,noun,Ahkos
Exit,noun,Lif
Exit,verb,Lif
Exorable,adjective,Visaakrot
Exorcise,verb,Goveyzii
Exorcism,verb,Goveyzii
Exoskeleton,noun,Qahseqeth
Expand,verb,Gesaak
Expect,verb,Zent
Expectant,adjective,Zentaal
Expel,verb,"Fustir, Fusond"
Expendable,noun,Visoben
Expense,noun,Oben
Expensive,adjective,Obenaal
Experience,verb,Seirak
Experiment,noun,Gorvahzen
Expert,noun,Prulos
Explain,verb,Gelaar
Explanation,noun,Gelaarend
Explode,verb,Kaag
Exploit,noun,Sod
Explore,verb,Rovit
Explorer,noun,Roviik
Explosion,noun,Kaagend
Explosive,adjective,Kaaguv
Export,verb,Tirstaal
Expose,verb,Gemindok
Exquisite,adjective,Hiraas
Extant,adjective,Laasagos
Extend,verb,Gesaak
Extermination,noun,Pahkriivah
Extinct,adjective,Frondinok
Extinction,adjective,Frondinok
Extinguish,verb,Evenaar
Extinguisher,noun,Kruniik
Extra,adverb,Siizuk
Extract,verb,Sovitah
Extraordinary,adjective,Vortiilok
Extreme,adjective,Zogut
Extremist,noun,Zogutiik
Eye,noun,Miin
Eyeball,noun,Miin-Ner
Eyebrow,noun,Avokmiin
Eyelash,noun,Miinom
Eyelid,noun,Miinspaan
Eyes,noun,Miin
Fable,noun,Tey
Fabric,noun,Riiv
Fabulous,adjective,Teynuv
Face,noun,Luft
"Face Paint",noun,Luftilir
Facet,noun,Luftiis
Facial,adjective,Luftuv
"Facial Hair",noun,Luftom
Fact,noun,Eiziid
Factual,adjective,Eiziiduv
Faculty,noun,Nemiir
Fade,verb,Feim
Fagot,noun,Oraakan
Fail,verb,Funt
Failure,noun,Funtaas
Faint,adjective,"Murun "
Faint,verb,Frum
Fair,adjective,Paaz
Fairness,adjective,Paazom
Fairy,noun,Feykrosah
Faith,noun,Sahvot
Faithful,adjective,Sahvotei
Faithfulness,noun,Sahvoteim
Faithless,adjective,Sahvotnu
Fake,adjective,Nisaad
Falcon,noun,Gahrik
Fall,verb,Mah
Fallen,adjective,Mahlaan
Falmer,noun,Sifahliil
False,adjective,"Nizah, Mulnu"
Falsehood,noun,Nivahzen
Falsity,noun,Nivahzen
Falter,verb,Hefvaak
Fame,noun,Frah
Familiar,noun,Feimraan
Familiar,adjective,Malmindok
Familiarize,verb,Malmind
Familicide,noun,Kriifron
Family,noun,Ragnavir
Famine,noun,"Kipnu "
Famish,verb,Gebahlok
Famished,adjective,"Kipnu "
Famous,adjective,Frahkei
Fan,verb,Meyarven
Fanatic,noun,Meyrothaar
Fanaticism,noun,Meyrothaarun
Fancy,verb,Elskah
Fang,noun,Iisk
Fantasize,verb,Verwahsar
Fantastic,adjective,Frahraam
Fantastical,adjective,Wahsaruv
Fantasy,noun,Wahsar
Far,adjective,Gut
Fare,verb,Bonu
Farewell,interjection,Vonok
Farina,noun,Pun
Farm,noun,Hofkah
Farmer,noun,Freik
Fart,verb,Reymsuf
Farther,adverb,Zugut
Farthest,adjective,Zogut
Fascinate,verb,Vahnuk
Fashion,noun,Vensedren
Fast,adjective,Nel
Fasten,verb,Qulaav
Fastidious,adjective,Pogukus
Fastness,noun,Nelom
Fat,adjective,Paag
Fatal,adjective,Dilos
Fate,noun,Dez
Fateful,adjective,Dezmi
Father,noun,Bormah
Fatherhood,noun,Bormahmaar
Fatherly,adjective,Bormahus
Fathom,verb,Seiluz
Fatty,adjective,Paagus
Faucet,noun,Stornah
Fault,noun,Tozein
Faultless,adjective,Tozeinvu
Faulty,adjective,Tozeinaal
Fauna,noun,Lus
Favor,noun,Hindah
Favorable,adjective,Hindahraal
Favorite,adjective,Zokhil
Fawn,noun,Maldriin
Fax,noun,Gut-Deykraan
Fealty,noun,"Midrot, Midun"
Fear,noun,Faas
Fearful,adjective,Zofaas
Fearless,adjective,Faasnu
Fearsome,adjective,Verfaas
Feast,noun,Velaaz
Feat,noun,Dren
Feather,noun,Uft
Feathery,adjective,Uftus
February,noun,Kreinvu
Feces,noun,Draafraan
Feeble,adjective,"Sahlovik, Wuth-Liivrah"
Feed,verb,Nahkip
Feel,verb,Fraan
Feeling,noun,Pruvos
Feign,verb,Kosmey
Feint,verb,Kosmey
Fell,verb,Mah
Fellow,adjective,Braan
Fellowship,noun,Braandein
Female,adjective,Punah
Feminine,adjective,Punahuv
Fence,noun,Grinvund
Fenestration,noun,Vandulwahl
Feral,adjective,Fel
Ferment,verb,Yiinahtiid
Fermentation,verb,Yiinahtiid
Fern,noun,Namok
Ferocity,noun,Felaan
Fertile,adjective,Povaan
Fertility,noun,Povaas
Fervent,noun,"Agzii, Frinzii, Yolzii"
Fervid,noun,"Agzii, Frinzii, Yolzii"
Fervor,noun,"Agzii, Frinzii, Yolzii"
Fervorous,noun,"Agzii, Frinzii, Yolzii"
Fester,verb,Mebein
Festival,noun,Visk
Fetish,noun,Fook
Feud,noun,Fokein
Fever,noun,Qiistur
Few,adverb,Vogaan
Fiasco,noun,Funtah
Fiction,noun,Mahraal-Wahlaan
Fidelity,noun,Midsil
Fief,noun,Maljunaar
Fiefdom,noun,Maljunaar
Field,noun,"Frod, Pindaar, Hahsok"
Fiend,noun,Dostoz
Fiendish,adjective,Dostozuv
Fierce,adjective,Norok
Fiercest,adjective,Norok
Fiery,adjective,Yolus
Fig,noun,Fikon
Fight,verb,Krif
Fighter,noun,"Krifiik, Grahgeltviing"
Figure,verb,Suz
File,noun,Deykraanjot
File,verb,Vet
Fill,verb,Gejahrii
Filly,noun,Keyriin
Film,noun,Bodilir
Filter,verb,Bozeim
Filthy,adjective,Gaas
Fin,noun,Lomviing
Final,adjective,Laat
Finance,noun,Vahladyuld
Find,verb,Siiv
Fine,adjective,Flogah
Finesse,noun,Nulaar
Finger,noun,Sinak
Fingernail,noun,Haaljusk
Finish,verb,Geblaan
Finite,adjective,Zah
Fir,noun,Raalik
Fire,noun,Yol
Fire,verb,Ronah
"Fire Atronach",noun,Yolkaronahs
"Fire extinguisher",noun,Yolkriid
Firearm,noun,Thulzun
Fireball,noun,Yolgram
Firefighter,noun,Paalseyol
Firefly,noun,Kunpusojur
Firelight,noun,Yolkun
Fireplace,noun,Fraad
Fireteam,noun,Grahdopaan
Firewood,noun,Agosvah
Firework,noun,Geyolkah
First,adjective,Diist
"First Dragon War",noun,Keinsejoorre
"First Seed",noun,Diistmaas
Firstborn,noun,Diistkiin
Fish,noun,Ikin
Fisher,noun,Ikind
Fisherman,noun,Ikind
Fissure,noun,Krentgol
Fist,noun,Lon
Fit,verb,Kovon
Fitness,noun,Haasmul
Five,noun,Hen
Fixer,noun,Vokreniik
Fjord,noun,Vaard
Flabbergasted,adjective,Lahkmojon
Flag,noun,Luug
Flagon,noun,Vaskin
Flail,noun,"Nimqah, Skenqator"
Flak,noun,Vobozun
Flake,noun,Tojaar
Flame,noun,Yolos
Flamethrower,noun,Yolfuskiik
Flaming,adjective,Yoltaas
Flank,noun,Feid
Flap,verb,Pas
Flare,noun,Rith
Flash,noun,Rith
Flash,verb,Prus
"Flash drive",noun,Mindah-Oraak
Flashback,noun,Tiidahmaan
Flat,adjective,Yel
Flatbread,noun,Yelbrot
Flatter,verb,Hesvun
Flautist,noun,Fifiikin
Flavor,noun,Ken
Flavour,noun,Ken
Flaw,noun,Tozein
Flawed,adjective,Tozeinaal
Flawless,adjective,Tozeinvu
Fled,verb,Bovul
Fledgling,noun,Lokiin
Flee,verb,Bovul
Fleet,noun,Flaar
Fleet,adjective,Neltiid
Flesh,noun,Slen
Fletch,verb,Zironaaz
Fletcher,verb,Zironaaz
Flexible,adjective,Tokingrah
Flick,verb,Hosk
Flicker,verb,"Hoskov, Reyzir"
Flight,noun,Bod
Fling,verb,Fusvok
Flint,noun,Yolosgol
Flintlock,noun,Nos-Thulzun
Flipper,noun,Lomviing
Float,verb,Horit
Flock,noun,Tahlok
Flood,noun,Faath
Floor,noun,Keil
Flora,noun,Lul
Florist,noun,Oslemun
Flour,noun,Pun
Flourish,verb,Veyr
Flow,noun,Ven
Flow,verb,Bo
Flower,noun,Osley
Fluency,noun,Bozul
Fluent,adjective,Bozul
Fluff,noun,Faskah
Fluffy,adjective,Faskus
Fluid,noun,Bovaal
Flurry,noun,Suraas
Flute,noun,Fifiik
Flutist,noun,Fifiikin
Fly,noun,Pusojur
Fly,verb,Bo
Foal,noun,Keyroon
Foam,noun,Fahtin
Foamy,adjective,Fahtinus
Focus,verb,"Morah, Vergrav"
Foe,noun,Paal
Fog,noun,Bruh
Foggy,adjective,Bruhus
Foil,noun,"Griivtuz, Ziinkriftuz"
Fold,verb,Vaalt
Folder,noun,Deykraanjot
Foliage,noun,Fuhil
Follow,verb,"Kiibok, Mindun"
Follower,noun,Kiibokin
Following,verb,Mindun
Folly,noun,Goltnu
Food,noun,Kip
Fool,verb,Mey
Foolish,adjective,Meyus
Foot,noun,Pahrk
Football,noun,"Pahrk-Niiv, Haal-Klur"
Footprint,noun,Pahrkfar
Footstep,noun,Pahrkmah
For,preposition,Fah
Forbid,verb,Nilaad
Forbidden,adjective,Nilaadaan
Force,noun,Fus
Forceful,adjective,Fuskei
Ford,verb,Strahn
Foreboding,adjective,Dezmi
Foreign,adjective,Tirah
Foreigner,noun,Tirah
Foremost,adjective,Usnaan
Foresee,verb,Promiin
Foreshadow,verb,Prodahven
Foresight,verb,Promiin
Forest,noun,Feykro
Foreswear,verb,Duvaat
Foretell,verb,Prodah
Foretold,verb,Prodah
Forever,adverb,Mahfaeraak
Forevermore,adverb,Unslaar
Forge,noun,Heim
Forger,noun,Heimiik
Forget,verb,Vodahmaan
Forgetful,adjective,Zovodahmaan
Forgetfulness,noun,Zahgraan-Hah
Forgivable,adjective,Visfrozaal
Forgive,verb,Frolaaz
Forgiveness,noun,Frolaaz
Forgiving,adjective,Zofrolaaz
Forgo,verb,Forgen
Forgotten,adjective,Vodahmin
Fork,noun,Zof
Form,noun,Buld
Formal,adjective,Prudaav
Formation,noun,Buld
Former,adjective,Usliik
